,State,State ABBR,Prescribing Rate,Year
402,Vermont,VT,52.2,2013
403,Virginia,VA,76.6,2013
404,Washington,WA,75.2,2013
405,West Virginia,WV,129.0,2013
406,Wisconsin,WI,73.8,2013
407,Wyoming,WY,81.5,2013
408,Alabama,AL,135.2,2014
409,Alaska,AK,62.7,2014
410,Arizona,AZ,79.7,2014
411,Arkansas,AR,123.2,2014
412,California,CA,52.7,2014
413,Colorado,CO,69.6,2014
414,Connecticut,CT,66.0,2014
415,Delaware,DE,91.0,2014
416,District of Columbia,DC,40.1,2014
417,Florida,FL,71.4,2014
418,Georgia,GA,83.8,2014
419,Hawaii,HI,47.7,2014
420,Idaho,ID,87.4,2014
421,Illinois,IL,62.3,2014
422,Indiana,IN,96.7,2014
423,Iowa,IA,72.3,2014
424,Kansas,KS,86.5,2014
425,Kentucky,KY,110.0,2014
426,Louisiana,LA,108.9,2014
427,Maine,ME,82.4,2014
428,Maryland,MD,67.6,2014
429,Massachusetts,MA,59.6,2014
430,Michigan,MI,98.0,2014
431,Minnesota,MN,56.6,2014
432,Mississippi,MS,116.3,2014
433,Missouri,MO,90.7,2014
434,Montana,MT,80.1,2014
435,Nebraska,NE,70.1,2014
436,Nevada,NV,90.1,2014
437,New Hampshire,NH,79.6,2014
438,New Jersey,NJ,57.2,2014
439,New Mexico,NM,71.5,2014
440,New York,NY,43.9,2014
441,North Carolina,NC,93.7,2014
442,North Dakota,ND,58.1,2014
443,Ohio,OH,89.5,2014
444,Oklahoma,OK,110.9,2014
445,Oregon,OR,91.9,2014
446,Pennsylvania,PA,79.9,2014
447,Rhode Island,RI,72.8,2014
448,South Carolina,SC,101.3,2014
449,South Dakota,SD,61.7,2014
450,Tennessee,TN,121.3,2014
451,Texas,TX,67.0,2014
452,Utah,UT,78.8,2014
453,Vermont,VT,50.4,2014
454,Virginia,VA,73.5,2014
455,Washington,WA,74.2,2014
456,West Virginia,WV,126.4,2014
457,Wisconsin,WI,71.9,2014
458,Wyoming,WY,80.9,2014
459,Alabama,AL,125.0,2015
460,Alaska,AK,60.8,2015
461,Arizona,AZ,75.5,2015
462,Arkansas,AR,117.2,2015
463,California,CA,47.7,2015
464,Colorado,CO,65.1,2015
465,Connecticut,CT,62.3,2015
466,Delaware,DE,84.4,2015
467,District of Columbia,DC,35.7,2015
468,Florida,FL,67.1,2015
469,Georgia,GA,79.4,2015
470,Hawaii,HI,44.3,2015
471,Idaho,ID,81.9,2015
472,Illinois,IL,59.1,2015
473,Indiana,IN,89.1,2015
474,Iowa,IA,68.6,2015
475,Kansas,KS,80.5,2015
476,Kentucky,KY,102.6,2015
477,Louisiana,LA,100.4,2015
478,Maine,ME,76.5,2015
479,Maryland,MD,63.0,2015
480,Massachusetts,MA,54.0,2015
481,Michigan,MI,90.5,2015
482,Minnesota,MN,52.1,2015
483,Mississippi,MS,110.9,2015
484,Missouri,MO,84.5,2015
